age,gender,height,weight,bmi,calories_intake,exercise_type,intensity_level,frequency_per_week,activity_level,recommended_calories,protein_grams_per_day,carbs_grams_per_day,fats_grams_per_day
55,male,1.46,80,37.5,2503,yoga,low,2,light,1483.4,148.3,92.7,57.7
29,male,1.82,56,16.9,3918,yoga,low,3,sedentary,2169.0,162.7,244.0,60.2
42,male,1.46,72,33.8,2452,bodyweight,low,3,sedentary,1213.0,121.3,91.0,40.4
47,male,1.73,98,32.7,2402,bodyweight,low,3,sedentary,1697.5,169.8,127.3,56.6
43,female,1.85,45,13.1,2153,strength,low,4,sedentary,1776.3,155.4,222.0,29.6
59,female,1.62,64,24.4,2381,cardio,high,6,very active,2064.0,154.8,232.2,57.3
63,female,1.5,93,41.3,1896,cardio,high,6,very active,1900.3,190.0,166.3,52.8
37,female,1.75,50,16.3,3381,cardio+strength,medium,4,moderate,2234.0,178.7,290.4,39.7
49,male,1.94,93,24.7,1822,yoga,low,3,sedentary,2283.0,171.2,199.8,88.8
50,female,1.86,91,26.3,3864,cardio+strength,medium,5,moderate,2075.3,217.9,166.0,60.0
27,male,1.47,74,34.2,2685,cardio+strength,medium,3,moderate,1869.6,196.3,149.6,54.0
20,male,1.88,93,26.3,2638,cardio,high,5,very active,2967.2,296.7,259.6,82.4
44,female,1.53,90,38.4,2358,yoga,low,2,light,1528.5,152.8,95.5,59.4
57,female,1.8,54,16.7,3995,cardio+strength,high,4,moderate,2189.4,175.2,284.6,38.9
55,male,1.72,76,25.7,2169,yoga,low,2,light,1651.9,165.2,103.2,64.2
44,female,1.58,73,29.2,2828,cardio+strength,high,5,very active,1805.5,189.6,144.4,52.2
64,male,1.56,49,20.1,2792,strength,low,3,sedentary,1380.0,120.7,138.0,38.3
40,female,1.48,85,38.8,2370,cardio+strength,high,5,very active,1939.2,203.6,155.1,56.0
56,female,1.65,103,37.8,2085,cardio,high,5,very active,2294.9,229.5,200.8,63.7
31,male,1.57,78,31.6,3894,yoga,low,3,sedentary,1433.5,143.3,89.6,55.7
42,female,1.63,62,23.3,3587,cardio,high,5,very active,2186.9,164.0,246.0,60.7
46,male,1.83,59,17.6,2126,yoga,low,2,light,2374.5,178.1,267.1,66.0
55,male,1.85,99,28.9,3942,cardio,high,6,very active,2736.5,273.7,239.4,76.0
19,female,1.64,104,38.7,3667,cardio,high,5,very active,2620.5,262.1,229.3,72.8
31,male,1.79,59,18.4,3699,cardio,high,5,very active,2988.8,224.2,411.0,49.8
63,female,1.83,88,26.3,1956,strength,low,5,sedentary,1357.3,152.7,101.8,37.7
33,female,1.53,45,19.2,2578,yoga,low,3,sedentary,1296.3,97.2,113.4,50.4
47,male,1.7,58,20.1,2722,yoga,low,2,light,1942.2,145.7,169.9,75.5
55,male,1.53,65,27.8,3709,cardio,high,5,very active,1805.0,180.5,157.9,50.1
64,male,1.75,107,34.9,1579,bodyweight,low,3,sedentary,1718.5,171.9,128.9,57.3
22,female,1.89,84,23.5,2480,strength,low,4,sedentary,2100.3,183.8,210.0,58.3
18,male,1.89,55,15.4,1850,cardio+strength,medium,5,moderate,2851.7,228.1,370.7,50.7
61,female,1.86,61,17.6,2025,cardio+strength,medium,5,moderate,2325.1,186.0,302.3,41.3
57,female,1.92,66,17.9,2585,cardio,high,5,very active,2739.2,205.4,376.6,45.7
48,female,1.93,70,18.8,2776,strength,low,3,sedentary,1806.3,158.1,180.6,50.2
40,female,1.67,102,36.6,1995,cardio+strength,medium,3,moderate,2139.3,224.6,171.1,61.8
30,male,1.48,47,21.5,3909,cardio,high,5,very active,2156.2,161.7,242.6,59.9
50,male,1.74,45,14.9,1790,cardio,high,6,very active,2529.6,189.7,347.8,42.2
60,male,1.56,49,20.1,2853,cardio,high,6,very active,2018.2,151.4,227.0,56.1
19,male,1.59,107,42.3,2377,cardio,high,5,very active,2904.7,290.5,254.2,80.7
49,male,1.81,105,32.1,2495,yoga,low,4,sedentary,1829.5,183.0,114.3,71.1
65,female,1.85,69,20.2,1886,strength,low,3,sedentary,1632.3,142.8,163.2,45.3
21,female,1.63,97,36.5,3412,yoga,low,4,sedentary,1567.3,156.7,98.0,61.0
61,male,1.79,57,17.8,1748,cardio+strength,high,6,very active,2695.6,215.6,350.4,47.9
40,female,1.85,58,16.9,2518,cardio,high,6,very active,2672.3,200.4,367.4,44.5
27,male,1.72,62,21.0,3228,strength,low,4,sedentary,1878.0,164.3,187.8,52.2
26,female,1.68,54,19.1,3315,yoga,low,2,light,1786.1,134.0,156.3,69.5
50,male,1.48,46,21.0,1882,cardio+strength,medium,4,moderate,1767.0,141.4,185.5,51.0
63,male,1.53,107,45.7,3471,cardio,high,6,very active,2460.5,246.1,215.3,68.3
28,female,1.9,66,18.3,3052,yoga,low,2,light,2426.4,182.0,273.0,67.4
15,female,1.58,103,41.3,2668,cardio,high,5,very active,2573.1,257.3,225.1,71.5
42,female,1.53,82,35.0,2391,yoga,low,4,sedentary,1186.3,118.6,74.1,46.1
18,male,1.82,52,15.7,1705,cardio,high,6,very active,3012.6,225.9,414.2,50.2
52,female,1.7,65,22.5,1732,cardio,high,5,very active,2227.8,167.1,250.6,61.9
47,male,1.88,53,15.0,3937,cardio+strength,high,4,moderate,2586.2,206.9,336.2,46.0
19,male,1.65,76,27.9,3871,cardio,high,5,very active,2434.7,243.5,213.0,67.6
53,male,1.76,98,31.6,3890,yoga,low,4,sedentary,1684.0,168.4,105.2,65.5
51,female,1.92,71,19.3,2786,yoga,low,3,sedentary,1792.8,134.5,156.9,69.7
30,female,1.65,83,30.5,3372,bodyweight,low,3,sedentary,1360.3,136.0,102.0,45.3
35,male,1.45,57,27.1,1800,strength,low,4,sedentary,1067.5,120.1,80.1,29.7
49,male,1.7,61,21.1,2929,cardio,high,5,very active,2471.1,185.3,278.0,68.6
19,male,1.63,65,24.5,3294,cardio+strength,medium,3,moderate,2447.1,195.8,256.9,70.7
49,female,1.76,46,14.9,3771,yoga,low,4,sedentary,1684.8,126.4,189.5,46.8
34,male,1.92,62,16.8,2583,cardio,high,6,very active,3154.9,236.6,433.8,52.6
22,male,1.82,64,19.3,2615,bodyweight,low,3,sedentary,2007.0,150.5,200.7,66.9
33,male,1.81,71,21.7,2581,yoga,low,2,light,2311.7,173.4,202.3,89.9
47,female,1.58,51,20.4,1878,yoga,low,3,sedentary,1321.8,99.1,115.7,51.4
55,female,1.86,50,14.5,1514,strength,low,5,sedentary,1771.8,155.0,221.5,29.5
36,male,1.77,78,24.9,2161,cardio+strength,high,4,moderate,2652.4,212.2,278.5,76.6
62,female,1.73,99,33.1,3797,cardio+strength,medium,5,moderate,1980.4,207.9,158.4,57.2
15,male,1.49,64,28.8,3734,yoga,high,4,moderate,1826.9,182.7,114.2,71.0
17,female,1.74,63,20.8,3260,yoga,low,3,sedentary,1765.8,132.4,154.5,68.7
23,male,1.6,50,19.5,2965,yoga,low,4,sedentary,1668.0,125.1,146.0,64.9
28,male,1.78,90,28.4,3793,yoga,low,2,light,2081.6,208.2,130.1,81.0
41,male,1.91,75,20.6,2165,cardio,high,6,very active,3008.0,225.6,338.4,83.6
26,female,1.46,87,40.8,3186,yoga,low,2,light,1550.8,155.1,96.9,60.3
57,male,1.58,58,23.2,3066,strength,low,4,sedentary,1545.0,135.2,154.5,42.9
17,female,1.56,103,42.3,2932,cardio,high,5,very active,2534.3,253.4,221.8,70.4
34,male,1.56,69,28.4,3132,cardio+strength,high,6,very active,2087.5,219.2,167.0,60.3
36,female,1.88,80,22.6,2938,cardio,high,5,very active,2818.7,211.4,317.1,78.3
56,female,1.79,87,27.2,1613,yoga,low,2,light,1628.2,162.8,101.8,63.3
22,female,1.54,78,32.9,1656,cardio,high,6,very active,2038.3,203.8,178.4,56.6
21,female,1.62,85,32.4,3287,cardio+strength,high,6,very active,2254.0,236.7,180.3,65.1
53,male,1.64,69,25.7,2543,cardio+strength,high,5,very active,2009.9,211.0,160.8,58.1
17,female,1.45,70,33.3,2991,cardio+strength,high,6,very active,1846.4,193.9,147.7,53.3
42,male,1.92,87,23.6,2785,cardio,high,6,very active,3217.1,241.3,361.9,89.4
57,male,1.81,83,25.3,3577,cardio+strength,high,4,moderate,2105.9,221.1,168.5,60.8
34,female,1.61,82,31.6,3770,cardio+strength,medium,3,moderate,1817.6,190.8,145.4,52.5
23,male,1.66,93,33.7,2212,yoga,low,2,light,2054.1,205.4,128.4,79.9
54,female,1.65,45,16.5,2744,cardio,high,6,very active,2111.7,158.4,290.4,35.2
33,male,1.66,86,31.2,3404,cardio,high,6,very active,2497.2,249.7,218.5,69.4
43,female,1.79,110,34.3,3438,yoga,low,4,sedentary,1711.3,171.1,107.0,66.6
65,male,1.78,81,25.6,3611,cardio+strength,medium,3,moderate,1983.9,208.3,158.7,57.3
57,female,1.5,75,33.3,2771,yoga,low,4,sedentary,989.8,99.0,61.9,38.5
29,male,1.52,50,21.6,2502,cardio+strength,high,5,very active,2259.8,180.8,237.3,65.3
45,male,1.68,69,24.4,3072,yoga,low,4,sedentary,1824.0,136.8,159.6,70.9
46,female,1.57,45,18.3,1936,yoga,low,2,light,1730.3,129.8,194.7,48.1
64,female,1.56,104,42.7,1705,yoga,low,4,sedentary,1340.8,134.1,83.8,52.1
50,male,1.91,60,16.4,3369,cardio,high,6,very active,2971.6,222.9,408.6,49.5
23,female,1.78,85,26.8,3312,yoga,low,4,sedentary,1523.8,152.4,95.2,59.3
54,female,1.87,102,29.2,2151,cardio,high,6,very active,2532.1,253.2,221.6,70.3
62,female,1.68,76,26.9,2635,cardio+strength,medium,3,moderate,1575.5,165.4,126.0,45.5
64,female,1.76,80,25.8,3301,yoga,low,3,sedentary,1202.8,120.3,75.2,46.8
19,female,1.57,87,35.3,2809,yoga,low,3,sedentary,1414.3,141.4,88.4,55.0
49,male,1.52,74,32.0,3068,cardio+strength,medium,4,moderate,1747.5,183.5,139.8,50.5
59,male,1.8,53,16.4,3199,cardio+strength,medium,4,moderate,2415.8,193.3,314.1,42.9
41,female,1.72,98,33.1,1755,yoga,low,2,light,1822.4,182.2,113.9,70.9
28,female,1.64,47,17.5,3858,yoga,low,4,sedentary,1732.8,130.0,194.9,48.1
39,female,1.45,90,42.8,2723,strength,low,3,sedentary,1240.3,139.5,93.0,34.5
63,female,1.88,98,27.7,3704,cardio,high,6,very active,2396.3,239.6,209.7,66.6
62,male,1.69,79,27.7,3285,cardio,high,6,very active,2158.7,215.9,188.9,60.0
46,male,1.64,96,35.7,2176,cardio+strength,medium,3,moderate,2228.0,233.9,178.2,64.4
44,male,1.94,48,12.8,3113,cardio,high,6,very active,2848.7,213.7,391.7,47.5
52,male,1.49,99,44.6,2055,cardio,high,5,very active,2374.3,237.4,207.8,66.0
44,male,1.48,93,42.5,2840,yoga,low,3,sedentary,1468.0,146.8,91.8,57.1
28,female,1.61,93,35.9,2639,yoga,low,4,sedentary,1462.3,146.2,91.4,56.9
63,female,1.58,55,22.0,3426,cardio+strength,medium,4,moderate,1645.3,131.6,172.8,47.5
16,male,1.95,89,23.4,2418,cardio+strength,high,6,very active,3508.2,280.7,368.4,101.3
56,male,1.84,50,14.8,1627,yoga,low,2,light,2190.6,164.3,246.4,60.8
30,male,1.87,64,18.3,2477,cardio,high,6,very active,3170.0,237.8,435.9,52.8
23,female,1.78,72,22.7,3404,cardio,high,5,very active,2685.0,201.4,302.1,74.6
59,female,1.83,66,19.7,3981,yoga,low,3,sedentary,1617.3,121.3,141.5,62.9
53,male,1.84,65,19.2,2774,yoga,low,2,light,2117.5,158.8,185.3,82.3
21,male,1.91,93,25.5,3124,bodyweight,low,3,sedentary,1928.5,192.9,144.6,64.3
60,male,1.49,76,34.2,1917,bodyweight,low,3,sedentary,1175.5,117.6,88.2,39.2
59,female,1.88,60,17.0,3818,yoga,low,2,light,2113.6,158.5,237.8,58.7
65,male,1.62,99,37.7,3017,cardio+strength,medium,3,moderate,2107.9,221.3,168.6,60.9
19,female,1.46,98,46.0,3507,cardio,high,6,very active,2323.0,232.3,203.3,64.5
21,female,1.93,103,27.7,2126,cardio+strength,medium,4,moderate,2553.9,268.2,204.3,73.8
42,male,1.82,79,23.8,3704,cardio+strength,high,4,moderate,2669.9,213.6,280.3,77.1
64,female,1.68,79,28.0,2820,cardio,high,6,very active,1844.3,184.4,161.4,51.2
30,male,1.59,102,40.3,2498,yoga,low,4,sedentary,1742.5,174.2,108.9,67.8
63,female,1.73,93,31.1,2877,cardio,high,6,very active,2148.3,214.8,188.0,59.7
16,female,1.88,68,19.2,3497,cardio,high,5,very active,2784.2,208.8,313.2,77.3
28,female,1.85,88,25.7,2645,cardio,high,6,very active,2493.3,249.3,218.2,69.3
53,female,1.73,69,23.1,1850,yoga,low,2,light,1849.7,138.7,161.8,71.9
30,female,1.69,75,26.3,3450,yoga,low,3,sedentary,1294.3,129.4,80.9,50.3
56,female,1.67,47,16.9,1881,cardio,high,6,very active,2150.5,161.3,295.7,35.8
33,male,1.65,76,27.9,2754,yoga,low,3,sedentary,1457.5,145.8,91.1,56.7
57,female,1.69,89,31.2,3242,yoga,low,4,sedentary,1300.3,130.0,81.3,50.6
62,female,1.63,103,38.8,2609,cardio,high,5,very active,2221.6,222.2,194.4,61.7
34,female,1.57,69,28.0,2792,strength,low,6,sedentary,1108.3,124.7,83.1,30.8
22,male,1.55,106,44.1,2632,cardio,high,6,very active,2818.5,281.9,246.6,78.3
61,female,1.94,69,18.3,2713,yoga,high,2,light,2275.2,170.6,256.0,63.2
29,female,1.54,46,19.4,3687,cardio,high,6,very active,1926.0,144.4,216.7,53.5
23,female,1.47,51,23.6,3766,yoga,low,3,sedentary,1383.3,103.7,121.0,53.8
33,male,1.77,107,34.2,1920,cardio,high,6,very active,2978.0,297.8,260.6,82.7
15,female,1.68,101,35.8,2895,cardio+strength,high,4,moderate,2327.2,244.4,186.2,67.2
26,male,1.58,106,42.5,1967,yoga,low,4,sedentary,1807.0,180.7,112.9,70.3
19,female,1.7,51,17.6,2121,yoga,low,4,sedentary,1879.8,141.0,211.5,52.2
24,female,1.49,76,34.2,1985,yoga,low,3,sedentary,1192.3,119.2,74.5,46.4
50,female,1.75,73,23.8,3640,bodyweight,low,3,sedentary,1695.3,127.1,169.5,56.5
39,female,1.9,83,23.0,3910,yoga,low,4,sedentary,1993.8,149.5,174.5,77.5
42,female,1.73,52,17.4,3997,cardio,high,5,very active,2422.2,181.7,333.1,40.4
62,male,1.92,71,19.3,2364,yoga,low,3,sedentary,1926.0,144.4,168.5,74.9
31,male,1.53,67,28.6,3760,cardio+strength,medium,4,moderate,1788.2,187.8,143.1,51.7
19,male,1.45,102,48.5,3932,yoga,low,2,light,2024.8,202.5,126.5,78.7
45,female,1.47,81,37.5,2658,cardio+strength,medium,3,moderate,1581.3,166.0,126.5,45.7
59,female,1.49,74,33.3,2583,yoga,low,2,light,1171.0,117.1,73.2,45.5
65,male,1.66,73,26.5,2110,cardio,high,5,very active,1996.9,199.7,174.7,55.5
32,male,1.49,66,29.7,2759,cardio+strength,medium,4,moderate,1726.2,181.3,138.1,49.9
53,female,1.67,104,37.3,2745,yoga,low,3,sedentary,1489.3,148.9,93.1,57.9
59,female,1.92,109,29.6,3711,strength,low,4,sedentary,1700.8,191.3,127.6,47.2
46,female,1.49,50,22.5,3269,yoga,low,3,sedentary,1248.3,93.6,109.2,48.5
62,female,1.75,48,15.7,1874,strength,low,6,sedentary,1623.3,142.0,202.9,27.1
29,male,1.95,79,20.8,3860,cardio+strength,medium,4,moderate,2896.6,231.7,304.1,83.7
17,male,1.69,101,35.4,2639,yoga,low,4,sedentary,1883.5,188.4,117.7,73.2
26,female,1.77,107,34.2,1873,yoga,low,3,sedentary,1762.3,176.2,110.1,68.5
45,female,1.65,86,31.6,1928,yoga,low,2,light,1569.7,157.0,98.1,61.0
25,female,1.66,108,39.2,2680,cardio+strength,high,5,very active,2659.3,279.2,212.7,76.8
57,female,1.86,49,14.2,3362,cardio+strength,medium,3,moderate,2170.1,173.6,282.1,38.6
20,female,1.58,59,23.6,3155,cardio+strength,high,5,very active,2271.0,181.7,238.5,65.6
47,male,1.78,104,32.8,3192,cardio,high,6,very active,2816.3,281.6,246.4,78.2
18,male,1.71,108,36.9,3310,yoga,low,2,light,2337.7,233.8,146.1,90.9
63,male,1.55,61,25.4,2679,cardio,high,5,very active,1688.6,168.9,147.8,46.9
43,female,1.51,75,32.9,2148,yoga,low,3,sedentary,1081.3,108.1,67.6,42.1
34,male,1.73,56,18.7,2420,cardio+strength,medium,3,moderate,2288.2,183.1,240.3,66.1
22,female,1.92,64,17.4,3541,strength,low,5,sedentary,2182.8,191.0,272.9,36.4
60,female,1.7,79,27.3,3201,cardio+strength,medium,4,moderate,1656.8,174.0,132.5,47.9
45,female,1.57,63,25.6,3071,cardio+strength,medium,3,moderate,1399.1,146.9,111.9,40.4
27,male,1.88,80,22.6,3199,cardio+strength,medium,4,moderate,2859.8,228.8,300.3,82.6
36,female,1.86,81,23.4,2722,cardio+strength,medium,6,moderate,2528.8,202.3,265.5,73.1
52,female,1.88,102,28.9,3706,cardio,high,5,very active,2560.2,256.0,224.0,71.1
45,female,1.62,93,35.4,3365,cardio+strength,medium,5,moderate,1912.6,200.8,153.0,55.3
35,male,1.94,75,19.9,3842,bodyweight,low,3,sedentary,2151.0,161.3,215.1,71.7
39,male,1.88,97,27.4,1678,strength,low,3,sedentary,1846.0,207.7,138.4,51.3
35,female,1.8,93,28.7,3081,bodyweight,low,3,sedentary,1562.8,156.3,117.2,52.1
57,male,1.7,49,17.0,2017,bodyweight,low,3,sedentary,1827.0,137.0,228.4,40.6
47,female,1.88,101,28.6,1908,cardio,high,5,very active,2586.0,258.6,226.3,71.8
48,female,1.46,63,29.6,3179,strength,low,5,sedentary,869.8,97.9,65.2,24.2
56,male,1.49,78,35.1,2886,cardio,high,5,very active,1977.5,197.8,173.0,54.9
54,female,1.77,87,27.8,3685,cardio+strength,medium,3,moderate,1895.1,199.0,151.6,54.7
39,female,1.76,107,34.5,3716,cardio,high,6,very active,2629.2,262.9,230.1,73.0
17,male,1.57,81,32.9,2431,yoga,low,4,sedentary,1553.5,155.4,97.1,60.4
62,male,1.67,57,20.4,1911,cardio+strength,high,5,very active,2257.6,180.6,237.0,65.2
43,male,1.8,48,14.8,1688,cardio+strength,medium,6,moderate,2462.2,197.0,320.1,43.8
35,male,1.6,92,35.9,3264,cardio+strength,medium,3,moderate,2212.5,232.3,177.0,63.9
24,male,1.72,68,23.0,2196,cardio,high,5,very active,2829.0,212.2,318.3,78.6
26,male,1.75,93,30.4,2486,yoga,low,3,sedentary,1778.5,177.9,111.2,69.2
46,male,1.57,77,31.2,3382,yoga,low,2,light,1598.6,159.9,99.9,62.2
31,male,1.9,104,28.8,2678,yoga,low,3,sedentary,1993.0,199.3,124.6,77.5
58,male,1.49,89,40.1,3906,yoga,high,3,moderate,1881.2,188.1,117.6,73.2
34,female,1.8,103,31.8,2737,yoga,medium,3,moderate,2327.2,232.7,145.4,90.5
27,female,1.88,58,16.4,2471,yoga,low,2,light,2306.1,173.0,259.4,64.1
39,female,1.74,82,27.1,1589,yoga,low,2,light,1633.3,163.3,102.1,63.5
57,female,1.59,51,20.2,3983,cardio+strength,medium,6,moderate,1639.5,131.2,172.1,47.4
62,female,1.87,81,23.2,2442,strength,low,5,sedentary,1809.3,158.3,180.9,50.3
53,female,1.56,69,28.4,2526,cardio,high,6,very active,1637.3,163.7,143.3,45.5
58,male,1.76,50,16.1,2765,cardio,high,6,very active,2568.4,192.6,353.2,42.8
65,female,1.47,91,42.1,2038,cardio,high,6,very active,1816.2,181.6,158.9,50.5
20,female,1.61,98,37.8,2219,bodyweight,low,3,sedentary,1570.3,157.0,117.8,52.3
27,male,1.84,91,26.9,3674,strength,low,4,sedentary,1816.0,204.3,136.2,50.4
47,female,1.87,77,22.0,3473,cardio,high,6,very active,2661.2,199.6,299.4,73.9
33,female,1.85,104,30.4,1808,cardio+strength,medium,3,moderate,2398.9,251.9,191.9,69.3
24,male,1.88,95,26.9,3782,strength,low,4,sedentary,1912.0,215.1,143.4,53.1
38,male,1.85,46,13.4,2583,yoga,low,3,sedentary,2017.5,151.3,227.0,56.0
49,male,1.68,78,27.6,3894,bodyweight,low,3,sedentary,1408.0,140.8,105.6,46.9
39,female,1.5,74,32.9,3431,cardio+strength,medium,5,moderate,1548.3,162.6,123.9,44.7
16,female,1.91,73,20.0,1758,cardio+strength,medium,4,moderate,2608.3,208.7,273.9,75.4
55,female,1.9,83,23.0,3172,yoga,low,2,light,2174.6,163.1,190.3,84.6
22,male,1.47,49,22.7,2746,yoga,low,2,light,1792.7,134.5,156.9,69.7
46,male,1.5,62,27.6,3091,cardio+strength,medium,5,moderate,1565.4,164.4,125.2,45.2
44,female,1.79,98,30.6,3905,cardio,high,6,very active,2463.1,246.3,215.5,68.4
62,male,1.89,57,16.0,3504,yoga,low,4,sedentary,2035.5,152.7,229.0,56.5
54,female,1.92,80,21.7,1634,cardio+strength,high,5,very active,2706.5,216.5,284.2,78.2
59,female,1.56,101,41.5,2467,cardio,high,5,very active,2137.5,213.8,187.0,59.4
38,male,1.94,92,24.4,3730,yoga,low,4,sedentary,2337.0,175.3,204.5,90.9
56,female,1.48,80,36.5,2277,yoga,low,2,light,1265.5,126.6,79.1,49.2
22,female,1.5,72,32.0,3945,cardio+strength,medium,3,moderate,1649.1,173.2,131.9,47.6
16,male,1.84,76,22.4,2015,cardio+strength,high,4,moderate,2844.2,227.5,298.6,82.2
65,male,1.48,71,32.4,3901,cardio+strength,medium,6,moderate,1538.2,161.5,123.1,44.4
28,male,1.61,63,24.3,3941,yoga,low,2,light,2064.2,154.8,180.6,80.3
15,female,1.88,63,17.8,2032,yoga,high,2,light,2457.4,184.3,276.5,68.3
49,female,1.85,59,17.2,1605,yoga,low,4,sedentary,1908.3,143.1,214.7,53.0
23,male,1.63,75,28.2,3911,yoga,low,4,sedentary,1490.5,149.1,93.2,58.0
35,male,1.54,51,21.5,2019,yoga,low,2,light,1790.9,134.3,156.7,69.6
62,female,1.71,53,18.1,3450,cardio+strength,medium,3,moderate,2048.0,163.8,266.2,36.4
43,female,1.71,58,19.8,3351,cardio,high,5,very active,2195.5,164.7,247.0,61.0
47,male,1.92,50,13.6,3635,yoga,low,3,sedentary,2064.0,154.8,232.2,57.3
